asset_id,snapshot_date,ensemble_probability,risk_level,top_reason_1,top_reason_2,top_reason_3,top_reason_4,top_reason_5,protective_factor_1,protective_factor_2,protective_factor_3
AST028446,2026-05-25,0.5853424927277785,HIGH,numeric__total_maintenance_cost (+0.0130),numeric__days_since_maintenance (+0.0080),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0064),numeric__avg_downtime (-0.0020),numeric__maintenance_count_180d (-0.0011),numeric__condition_decline (-0.0010)
AST035567,2026-05-25,0.585292038680444,HIGH,numeric__total_maintenance_cost (+0.0133),numeric__maintenance_count (+0.0070),numeric__total_train_passages (+0.0067),numeric__total_downtime (+0.0064),numeric__avg_downtime (+0.0051),numeric__days_since_maintenance (-0.0018),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007)
AST041465,2026-05-25,0.5851627409483746,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_downtime (+0.0082),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0058),numeric__condition_decline (-0.0008),numeric__condition_usage_risk (-0.0007),numeric__maintenance_cost_90d (-0.0007)
AST029545,2026-05-25,0.585137420053853,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_train_passages (+0.0068),numeric__days_since_maintenance (+0.0068),numeric__total_downtime (+0.0067),numeric__maintenance_count (+0.0061),numeric__maintenance_count_180d (-0.0010),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007)
AST038562,2026-05-25,0.5850638795986693,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0079),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0066),numeric__days_since_maintenance (+0.0059),numeric__avg_downtime (-0.0018),numeric__condition_decline (-0.0009),numeric__maintenance_cost_90d (-0.0007)
AST008858,2026-05-25,0.5849774407556492,HIGH,numeric__total_maintenance_cost (+0.0124),numeric__maintenance_count (+0.0075),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0052),numeric__avg_downtime (+0.0050),numeric__days_since_maintenance (-0.0019),numeric__maintenance_cost_90d (-0.0004),numeric__maintenance_interval_days (-0.0003)
AST033252,2026-05-25,0.5849035120063723,HIGH,numeric__total_maintenance_cost (+0.0129),numeric__total_downtime (+0.0076),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0065),numeric__condition_decline (-0.0009),numeric__condition_change (-0.0007),numeric__condition_usage_risk (-0.0007)
AST020982,2026-05-25,0.5848991935923289,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__days_since_maintenance (+0.0079),numeric__total_downtime (+0.0069),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0020),numeric__maintenance_count_180d (-0.0011),numeric__condition_decline (-0.0008)
AST028543,2026-05-25,0.584896105948585,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__maintenance_count (+0.0068),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0062),numeric__maintenance_pressure (+0.0047),numeric__days_since_maintenance (-0.0018),numeric__avg_downtime (-0.0016),numeric__condition_usage_risk (-0.0008)
AST010962,2026-05-25,0.5848433762340811,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0071),numeric__days_since_maintenance (+0.0069),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0060),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0009),numeric__asset_age_at_snapshot (-0.0008)
AST023516,2026-05-25,0.5846754150090748,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0067),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0064),numeric__total_downtime (+0.0057),numeric__maintenance_cost_90d (-0.0008),numeric__maintenance_interval_days (-0.0003),numeric__maintenance_count_90d (-0.0003)
AST031000,2026-05-25,0.5846018872468489,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__days_since_maintenance (+0.0074),numeric__total_downtime (+0.0071),numeric__maintenance_count (+0.0070),numeric__total_train_passages (+0.0068),numeric__maintenance_count_180d (-0.0010),numeric__condition_decline (-0.0010),numeric__condition_usage_risk (-0.0007)
AST028776,2026-05-25,0.5845675922449219,HIGH,numeric__total_maintenance_cost (+0.0119),numeric__total_downtime (+0.0072),numeric__total_train_passages (+0.0067),numeric__days_since_maintenance (+0.0060),numeric__maintenance_count_365d (+0.0054),numeric__avg_downtime (-0.0018),numeric__life_remaining_ratio (-0.0010),numeric__condition_decline (-0.0009)
AST023300,2026-05-25,0.5845073661665685,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0069),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0060),numeric__days_since_maintenance (+0.0059),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0009),numeric__condition_change (-0.0007)
AST018914,2026-05-25,0.5844804352317378,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0057),numeric__avg_downtime (-0.0017),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0004)
AST038255,2026-05-25,0.5844367979857175,HIGH,numeric__total_maintenance_cost (+0.0127),numeric__total_downtime (+0.0072),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0066),numeric__days_since_maintenance (+0.0057),numeric__condition_decline (-0.0008),numeric__maintenance_cost_90d (-0.0007),numeric__condition_change (-0.0005)
AST027289,2026-05-25,0.5844103398616012,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__days_since_maintenance (+0.0075),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0054),numeric__avg_downtime (-0.0017),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0004)
AST008800,2026-05-25,0.5843331537980759,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__total_train_passages (+0.0065),numeric__maintenance_count (+0.0061),numeric__days_since_maintenance (+0.0060),numeric__total_downtime (+0.0056),numeric__maintenance_cost_90d (-0.0004),numeric__maintenance_count_90d (-0.0002),numeric__near_end_of_life (-0.0002)
AST032888,2026-05-25,0.5843217684690165,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0074),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0057),numeric__maintenance_pressure (+0.0047),numeric__days_since_maintenance (-0.0018),numeric__avg_downtime (-0.0017),numeric__maintenance_cost_90d (-0.0006)
AST039104,2026-05-25,0.5842072721102214,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_downtime (+0.0083),numeric__maintenance_count (+0.0070),numeric__total_train_passages (+0.0068),numeric__days_since_maintenance (+0.0065),numeric__condition_decline (-0.0008),numeric__condition_usage_risk (-0.0008),numeric__maintenance_cost_90d (-0.0005)
AST029707,2026-05-25,0.5841772788097781,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__total_train_passages (+0.0064),numeric__maintenance_count (+0.0060),numeric__days_since_maintenance (+0.0058),numeric__total_downtime (+0.0055),numeric__avg_downtime (-0.0018),numeric__asset_age_at_snapshot (-0.0013),numeric__maintenance_cost_90d (-0.0006)
AST017504,2026-05-25,0.5841133907307328,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__days_since_maintenance (+0.0071),numeric__total_downtime (+0.0069),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0061),numeric__maintenance_count_180d (-0.0010),numeric__life_remaining_ratio (-0.0008),numeric__condition_decline (-0.0007)
AST025920,2026-05-25,0.5841030131467827,HIGH,numeric__total_train_passages (+0.0065),numeric__total_maintenance_cost (+0.0064),numeric__maintenance_count (+0.0061),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0054),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0003),numeric__near_end_of_life (-0.0002)
AST032738,2026-05-25,0.5840975383321119,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__days_since_maintenance (+0.0067),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0052),numeric__avg_downtime (-0.0016),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0004)
AST033891,2026-05-25,0.584067107510926,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__days_since_maintenance (+0.0070),numeric__maintenance_count (+0.0067),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0056),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_interval_days (-0.0003),numeric__maintenance_count_90d (-0.0002)
AST028123,2026-05-25,0.5840636042542892,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_downtime (+0.0069),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0066),numeric__days_since_maintenance (+0.0065),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007)
AST031898,2026-05-25,0.5839860880808918,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0064),numeric__maintenance_count (+0.0061),numeric__total_downtime (+0.0056),numeric__maintenance_cost_90d (-0.0007),numeric__initial_condition_score (-0.0004),numeric__maintenance_count_90d (-0.0003)
AST037861,2026-05-25,0.5838546581925658,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__total_train_passages (+0.0064),numeric__maintenance_count (+0.0060),numeric__days_since_maintenance (+0.0060),numeric__total_downtime (+0.0058),numeric__avg_downtime (-0.0017),numeric__life_remaining_ratio (-0.0009),numeric__asset_age_at_snapshot (-0.0007)
AST028790,2026-05-25,0.583824198701294,HIGH,numeric__total_maintenance_cost (+0.0124),categorical__station_code_RWL (+0.0073),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0062),numeric__days_since_maintenance (+0.0060),numeric__avg_downtime (-0.0017),numeric__condition_usage_risk (-0.0008),numeric__maintenance_cost_90d (-0.0004)
AST015372,2026-05-25,0.5837882521510106,HIGH,numeric__total_maintenance_cost (+0.0130),numeric__days_since_maintenance (+0.0080),numeric__total_train_passages (+0.0068),numeric__total_downtime (+0.0068),numeric__maintenance_count (+0.0060),numeric__avg_downtime (-0.0018),numeric__maintenance_count_180d (-0.0011),numeric__condition_decline (-0.0008)
